"FC"	"Gene.Name"	"Gene.ID"	"appearances"
13.4407928920034	"FBP1"	2203	5
12.231103242437	"CYP24A1"	1591	5
8.97310223191815	"G0S2"	50486	5
5.86797546616153	"THBD"	7056	5
5.27184256979649	"CA2"	760	5
4.90202121577016	"CD14"	929	5
4.67307236485062	"DHRS9"	10170	5
4.55622277175687	"OSM"	5008	5
4.44564148320685	"TKTL1"	8277	5
3.80426350724724	"CAMP"	820	5
3.50363084523515	"EDN1"	1906	5
3.47137224806291	"CD93"	22918	6
3.37546296646816	"LAMB3"	3914	5
3.25739088599557	"SEMA6B"	10501	5
3.24729854586979	"C19orf59"	199675	5
3.21082241308512	"PFKFB4"	5210	5
3.09049928129017	"MAP3K4"	4216	5
2.96578047377572	"TSPAN3"	10099	5
2.87165904098092	"KIAA1199"	57214	5
2.7488684871748	"TREM1"	54210	5
2.70071145688693	"FUCA1"	2517	5
2.69979148516923	"DDEF2"	8853	5
2.69436509513654	"ITGAM"	3684	5
2.67925362605436	"CRISPLD2"	83716	5
2.56862624817805	"LOC729049"	729049	5
2.56272659674813	"EFTUD1"	79631	5
2.54244473800854	"FAM116B"	414918	5
2.4489590835794	"BCAT1"	586	5
2.27735156196489	"CHST7"	56548	5
2.1104817574469	"HK2"	3099	5
2.09372712302556	"CLMN"	79789	5
2.09238246851629	"DIRC2"	84925	5
1.9910346960117	"EDG2"	1902	5
1.83275105653192	"CRADD"	8738	5
1.79882376147884	"NOD2"	64127	5
1.76299750972508	"NRIP1"	8204	5
1.69972158682363	"TSC22D1"	8848	6
1.66095480966916	"APBB3"	10307	5
1.65640415890638	"PFDN1"	5201	5
1.59235436852671	"ENTPD7"	57089	5
-1.59238731164295	"FAM129B"	64855	5
-1.65562571933907	"FAM49A"	81553	5
-1.76235529739178	"HAMP"	57817	5
-1.79889683938213	"CSF2RA"	1438	5
-1.88461468835493	"GPR162"	27239	5
-1.91357724140503	"CDKN1A"	1026	5
-2.07137230377696	"IER3"	8870	5
-2.20566654096382	"FPRL1"	2358	5
-2.26578747203556	"CD36"	948	5
-2.45440748189915	"LMNA"	4000	5
